,Unnamed: 0,type,category,star,review_
81,82,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북은 처음인데 제품의 만듦새가 좋네요  m1 맥북에어 기본형이 가성비 좋고 초보에게는 좋은 선택이라 생각합니다 
82,83,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,일단 아직 불량 테스트 해봐야하지만  잘 도착했네요 추석 이후로 오는 줄 알았는데 바로 도착해서 일단 넘 기분이 좋습니다  
83,84,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,맥북에어 가볍고 견고해 보이고 빠르고 역시 애플이네요
84,85,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,아주 배송이 빨라요   제품에도 문제없고 빠릿빠릿 하네요   처음쓰는 맥북이라 기대됩니다 
85,86,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,포인트 적립으로 저렴하게 구매했습니다 
86,87,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,완전좋아요 진작사서 쓸걸그랬네요
87,88,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,가성비가 너무 좋아용
88,89,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,예쁩니당 배송도 빠르고 사고싶었던 맥북 드디어  스그넘예브네여 애플은 스그가진리
89,90,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,좋은 제품감사합니다 와이프 선물 인데 좋아합니다
90,91,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,첫 맥북인데 배송 빠르고 포장 꼼꼼하게되어 왔어요  잘 쓸게요
91,92,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,좋아요  박스포장이 꼼꼼하게 오진 않지만 맥북은 이뻐요
92,93,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,좋습니다  배송은 이틀걸렸구요  진작 살걸 그랬어요
93,94,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,그동안 갖고 싶었던 맥북을 구입해서 너무 좋아요 
94,95,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,오늘 받아서 잘쓰고있습니다  빠름배송 좋아요
95,96,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,편집할때 나무좋습니다  그리고 어제시켰는데 오늘바로왔네요 감사합니다 
96,97,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송도 빠르고 좋습니다 잘 쓸게요  
97,98,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,저렴하게 잘 구매했습니다 
98,99,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,아이폰 연동잘됨 영롱하고
99,100,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,상품좋코역시애플입다
100,101,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,너무예뻐요  잘썻습
101,102,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,예쁘고 성능이 좋아요
102,103,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,아주 좋아요  짱짱
103,104,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,최고예요  인터넷으로 시켜서 좀 불안했는데  최신제조년월 상품으로 왔고  배송상태 아주 좋았습니다  지금까지도 너무 잘쓰고 있어요  고민하고 있다면 강추입니다 
104,105,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,좋아요 딸이 전에쓰던 맥북이 상태가 안좋아져서 새로샀는데 넘 좋아해요
105,106,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,iso 개발 완전 깔끔하네요  좋아요  
106,107,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,빠른 배송 너무 좋아요  영롱하네요 
107,108,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,포장도 잘 되어왔고 작동도 잘되네요  배송도 빨랐어요  넘 행복해요    
108,109,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,만족만족맥북에어좋네요
109,110,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,배송 아주 빨리 왔구요 아들 사줬는데 너무 좋다고 좋아합니다
110,111,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,만족삽니다 잘 쓰겠습니다
111,112,맥북 에어 2020년형 M1 256G 스페이스 그레이 MGN63KH/A,별점,5,가볍고 역시 스페이스그레이라 더 깔끔해보여요
